Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
2866,-0.133058,1.125679,-1.49383,-0.716056,-0.604628,-0.030951,0.506735,-0.200713,-0.906036,0.97485,-0.235457,0.102129,0.551068,0.038878,0.043272,1.030473,0.151369,0.862797,0.544667,2.016888,0.409413,0.637973,1.101657,0.063618,-0.637853,-0.474146,-0.464507,-0.950331,119.2,0
65014,0.063501,-0.490414,0.980737,0.645988,-0.353671,-0.014961,-0.271276,-0.638648,-1.69827,-0.483828,-0.624027,0.114891,0.440699,-0.802185,0.373497,-0.956246,-0.125293,-0.602419,0.746174,0.116773,-0.110168,-0.62525,-0.328841,1.829061,-0.501084,0.479407,-0.112646,0.450825,32.43,0
144450,-1.368264,-1.610996,-0.861165,0.082715,-0.618788,1.503349,0.45531,-0.018818,1.267409,-1.330807,0.866572,-0.236259,-0.455323,0.611071,-0.412509,0.181904,-0.099911,0.306452,-0.50708,0.926762,-2.044179,0.640893,-1.89124,-0.753448,0.522359,-2.01367,0.166481,-1.371346,32.22,0
24205,0.190715,0.266192,0.887031,1.514782,-0.363711,0.477351,0.292988,0.377615,0.392598,1.590503,-0.459677,-1.525736,-0.697874,0.757267,0.02333,-0.467599,-1.076497,0.221286,0.644506,0.305872,-0.25333,0.146641,0.140843,0.189697,-1.184305,0.197326,-0.440596,1.040619,21.45,0
133048,-0.124498,0.965187,0.938991,0.117925,-0.904473,-0.568789,-1.57592,-0.334429,-1.766425,0.218847,0.295998,1.005252,-1.220086,-1.152195,1.524701,-1.36873,2.051216,-0.923897,-0.916908,0.84281,0.549392,1.641537,-1.891304,0.533635,-0.045974,-1.076728,1.881473,0.23535,39.48,0
138868,0.538419,-1.237331,0.077383,-0.631681,-0.370339,0.270349,-0.504306,-0.105166,-1.154245,1.095512,0.728444,0.099984,-0.24266,-0.104372,1.074023,0.657606,1.090844,-0.341891,0.483399,1.188674,-0.926146,-0.989043,0.275204,-1.234942,-1.815825,1.174646,1.348899,-1.18002,36.87,0
64717,-2.115683,3.351335,-3.866992,0.906314,0.6617,1.796431,1.490164,-1.212691,0.203294,-1.87298,-1.34116,-2.962633,-0.702788,-3.215473,0.276632,-1.931684,1.531907,-0.322933,-0.47964,-0.546228,0.779584,0.995556,0.894414,0.269789,0.368447,-0.230369,-0.137105,0.853974,24.96,1
8026,-0.146999,-0.364467,-0.828463,0.90934,1.729891,0.300192,0.322491,-0.682331,-1.196097,-0.039739,-0.97375,-1.77261,0.803446,0.852167,-0.858839,0.243964,1.001952,0.205027,-1.193155,-0.232893,1.326809,0.247027,0.539132,0.341629,-0.855511,-0.620845,0.338865,0.816872,17.66,0
112178,1.907196,-0.654865,0.081285,-0.440763,-2.000782,0.701588,0.563442,-0.546826,-1.598055,-0.384123,0.731127,1.337333,-0.712579,1.107696,0.622471,0.413234,-1.293552,-1.250095,-0.830786,-0.326388,1.800746,-0.662235,0.771251,-0.464763,0.472707,-0.062981,0.177023,0.369615,130.82,0
146739,0.241081,2.335979,-1.754443,2.65576,0.756685,1.827315,0.905265,-0.94354,0.65784,-0.665653,-0.088145,-1.174685,-0.678698,0.896977,0.437957,1.02423,-1.397812,-1.870441,1.101716,1.027673,0.211537,0.419226,0.865038,0.181524,0.536667,0.814823,-0.093514,-0.345595,100.21,0
85103,-5.318783,2.545661,-4.073059,3.426199,-0.403436,-0.946824,0.67445,-0.628486,-1.102486,-2.11247,-0.323142,-3.158979,-0.015054,-2.870801,0.563179,-3.634827,-0.810215,1.201837,0.578919,-0.067498,0.795701,0.54016,0.943303,-1.142835,-0.064179,1.129803,1.677227,-0.535938,50.35,1
138613,-3.840835,3.019336,-4.244181,1.71244,-1.578693,-0.167322,-1.038019,0.169915,-0.309897,-3.325815,1.553421,-3.929191,1.878222,-2.553628,0.815553,-3.869522,-0.693679,0.017264,1.213075,-0.362954,-1.431452,0.39799,0.063978,-0.55101,-0.373064,-0.871074,0.923907,0.023324,6.28,1
101217,-1.977081,-0.064865,-1.993191,-0.199305,1.402623,-1.15347,-1.286107,0.636934,-2.805741,0.381808,1.468509,-0.872485,-1.04424,0.590023,-1.170744,0.810819,-1.08931,1.768402,0.662306,0.038044,1.710755,1.031544,0.368617,-1.86322,-0.701494,1.08541,-1.300126,-0.765723,8.17,0
127014,-0.942154,0.193033,-0.70151,-0.905579,-0.015534,-1.622093,-0.082537,0.657254,1.270611,1.088568,1.353331,-0.454714,-1.024636,0.815356,-0.516893,0.006262,0.746867,2.021098,0.528801,0.205103,-1.121111,1.169355,0.408643,-0.347142,-0.450418,-0.406863,0.043965,-1.459007,17.95,0
20417,0.729911,0.315342,0.493654,-1.84558,-0.395816,1.367273,-0.096027,-1.272295,-0.111602,-0.771017,0.333679,0.020545,0.543297,-1.217924,-0.448717,1.090434,-1.35428,-1.003112,0.199297,0.28673,-0.48885,-0.278433,0.533226,0.849635,-1.069222,0.36432,1.512016,-0.115892,85.44,0
163959,-0.766965,-0.045332,-0.100216,-0.216473,-0.666543,-0.356033,-1.585586,-0.698987,-0.221762,0.294357,0.172263,-1.22798,0.427787,0.12225,1.440167,-1.494401,-0.136477,1.031306,-0.296426,-0.913456,-0.816061,0.784791,-1.548088,-0.33323,-0.876069,-0.800936,0.441601,-0.395293,32.54,0
78805,-4.141759,3.372528,-2.21018,2.425564,0.391528,-0.100679,-0.886082,-1.129344,-0.707576,-3.418004,1.671791,-2.748338,-0.593316,-2.550298,-0.067622,-2.764009,-0.548621,2.24176,1.8645,-0.292618,-0.596329,0.925473,-1.209669,0.845948,0.125466,-1.434097,-0.151771,-0.655754,318.95,1
73986,0.556849,-2.032321,-0.931526,0.682138,1.208878,1.021049,0.893293,0.129744,-1.028903,-0.196623,-1.993269,1.300656,-0.817113,-0.533346,1.058619,-1.614627,-1.189403,0.267971,0.52038,-0.071701,-0.039083,1.268378,0.636318,0.50117,0.775646,-0.30059,2.173166,-2.307532,28.06,0
30660,-0.351572,0.058587,0.052319,0.490829,-1.285682,-0.037312,0.138132,-0.527738,0.404059,-1.34637,-0.326454,-0.753184,-0.323431,1.447035,1.466456,1.270416,-0.462257,0.907618,0.112362,0.04559,-0.077361,1.758418,1.365839,0.744896,-0.170301,0.039561,0.530567,-0.521609,10.14,0
120258,0.008024,-0.510315,-0.576537,0.35638,-0.684339,-1.104181,-0.510504,-1.324484,1.850617,0.596553,1.620844,0.485436,1.524593,0.367465,0.726181,-2.133719,-0.91433,0.036928,0.061188,-0.076381,0.452995,0.494203,0.865116,0.668994,1.204087,1.212234,0.174664,2.081649,43.95,0
167030,1.011569,0.245449,-0.074751,-1.495087,-0.032384,0.565223,-0.765243,-1.270083,0.101952,0.230666,-1.347371,0.040772,0.289928,1.321304,-0.476519,2.086422,0.053885,-1.201943,-0.330186,-1.112846,-0.167238,0.468466,0.268189,-1.130125,-1.254493,0.419389,0.644099,-0.48893,66.74,0
120390,-1.402473,-0.040216,-0.842513,0.938208,-1.500677,-1.418201,-0.416662,-1.538075,1.676003,-0.182917,-0.602801,0.467964,0.883849,0.206959,-0.068091,-0.983473,0.630909,1.416703,-0.21972,-0.848786,0.181496,0.00265,-1.216352,-0.502689,1.788486,-1.347555,-0.69062,-0.948713,4.45,0
156437,0.094719,-0.147198,0.263213,1.154727,-0.038799,0.985999,-0.208542,0.609055,-0.948088,1.069609,-0.676042,0.459287,-1.486568,0.024814,0.188123,-0.681326,-0.109775,0.262101,0.563269,0.100143,1.332444,1.158262,-0.030621,-1.330331,-0.487076,-2.229126,-0.18313,1.401753,73.47,0
58888,0.791979,-1.655386,-0.16181,0.012311,-0.194291,-0.396318,-0.667515,0.754541,0.999458,-0.082161,-1.096638,1.793949,-0.879797,-1.459422,-2.012622,0.099452,-0.217416,1.030957,0.611085,0.290201,-0.271367,1.109977,1.86739,1.008979,-0.463532,0.781566,-0.40209,-1.105067,7.0,0
1201,-0.567719,-0.221522,-0.828658,0.921635,0.063633,0.951514,1.222203,-2.174324,-0.770522,-0.624029,2.571372,0.149005,0.812561,-1.880692,0.143215,0.978293,0.861965,0.623399,0.013001,0.061569,-1.693266,-0.900533,0.230944,-0.715976,0.688838,0.466783,1.36737,0.958254,173.96,0
120219,-0.783128,0.688979,-0.942779,0.749302,0.032914,0.267836,-0.69741,0.357551,-0.597687,-0.413673,-1.517628,-0.772152,-0.525495,0.31281,0.595656,-0.607932,-0.164445,1.686385,0.131109,-0.536892,-1.679649,-0.853923,-0.89287,1.977874,-0.848458,0.051043,0.370758,1.106525,33.1,0
147069,0.382053,2.264614,-0.847684,-0.43074,-1.756411,0.434803,-0.529934,-1.400332,-0.06359,1.494632,-0.352026,-0.260514,1.455707,-0.005008,-1.20764,0.688999,1.124593,-0.200375,0.130493,-1.311188,-0.870587,-0.33304,0.076931,-0.619748,-0.370779,-0.123817,-0.998026,-0.268801,25.09,0
19214,0.581433,-0.203236,1.110118,-0.404604,-0.389535,1.05198,-0.763124,0.248929,-1.660483,1.819639,1.206552,2.750107,1.338364,-1.12965,0.66865,-0.918009,1.578038,-1.10114,-1.149155,-1.609811,-0.48838,-0.689478,-1.261649,1.989809,0.529881,0.412235,1.589164,0.256258,25.69,0
73800,1.906131,-0.483318,1.396554,-1.165855,-0.110636,-0.465247,0.602445,0.578276,-0.90062,0.658192,-0.380489,-0.816797,-0.011781,-1.476844,0.931306,-0.055621,-0.033746,-0.087167,1.64685,1.518878,1.350761,-0.085042,-1.115625,-0.015979,0.3144,0.81261,0.311183,-1.026494,11.98,0
16904,1.007653,-2.00613,1.948671,-0.558515,0.777955,2.5238,2.155333,-0.977562,-1.444517,1.430347,0.142056,-0.500881,0.621219,-0.16288,0.701324,0.066982,0.722388,-0.894533,1.424462,0.697623,0.646297,-1.11767,1.699632,-0.013716,0.728049,-0.322824,0.260889,0.297127,6.33,0
137506,-1.427872,0.464658,-1.361725,1.196755,0.230698,0.629661,-0.217444,-1.781602,-0.441432,0.92984,1.993629,0.28229,-0.686353,0.535703,0.839895,0.132754,0.071214,0.213608,0.04355,0.297781,1.827563,-2.033303,-0.238456,-0.932354,1.180803,-0.140882,0.559705,1.427307,380.49,0
27928,0.716799,-2.106762,0.376322,0.311216,0.133107,-0.132243,-1.592144,0.874177,0.373768,1.101957,-1.538756,0.507134,-0.234659,0.143788,-0.22316,0.543608,-0.162873,-1.051915,0.086425,-0.214175,-0.083394,-3.187811,0.682636,-0.314664,-1.348154,0.922564,0.636366,-0.32732,18.92,0
170483,1.144343,-0.054605,2.966366,-0.432696,0.591058,-0.598591,0.406282,-0.125573,-0.248661,-0.618792,0.147542,0.836173,-0.975066,-0.048573,0.493134,0.682891,1.863028,0.578678,-0.400022,-0.568002,-0.580258,-0.635977,0.215736,0.42055,0.824545,0.664995,1.246107,-0.668921,145.57,0
63549,0.565124,-0.310727,-0.022689,-0.071304,-0.401426,0.212037,0.350748,-1.244628,1.632042,0.409798,-0.262783,0.221176,0.930369,-1.466686,-0.105061,-1.185856,2.657004,0.138186,-1.177746,3.599467,-0.536019,-0.20908,-0.136798,-0.847953,0.247352,-2.21074,1.085898,-1.127805,10.52,0
9728,0.545122,-0.943416,0.30378,-1.376692,0.71799,1.675547,1.679792,0.734894,-0.583412,-1.300902,-1.400205,-2.806217,0.693856,-0.102836,0.909216,1.428031,0.099906,0.145962,-0.46432,-0.346084,0.72847,-0.174375,-0.319008,-0.018317,0.88633,-0.692662,-0.066529,0.245278,93.44,0
20530,-1.079839,-1.126092,-0.160737,1.035847,-0.040756,0.189232,-0.996342,0.983118,-1.145659,-0.504496,0.629915,-2.039431,0.173961,-1.039074,0.016549,-0.352056,2.105835,-0.393121,1.842651,0.586952,-0.801459,0.330811,-0.30441,0.242157,-0.713891,1.690178,0.925398,0.031782,14.43,0
874,-0.627419,-0.495389,0.418839,-0.389288,-1.234944,-1.099356,0.537766,-1.358712,1.397164,-0.690399,0.616216,-0.630413,-0.915241,0.246104,1.051783,-0.247368,-0.065477,0.807417,0.840527,-0.038492,-0.44348,0.082656,-0.190911,0.312974,-1.19427,0.277182,-0.718303,0.905888,129.35,0
3556,-0.695422,-0.04157,2.020402,-0.739874,-1.705087,1.382904,1.136605,-0.456967,-0.112992,-1.224935,0.088952,1.165914,-0.542605,0.877102,0.463724,0.577817,-0.484309,-0.354624,-1.846772,-0.566669,1.163485,-0.929332,-0.780302,0.64019,0.402768,0.689863,-1.163221,2.564058,62.59,0
149137,1.890492,0.840343,1.389511,-0.172177,0.04691,-0.596726,-0.713472,0.398239,-0.368452,2.220819,0.842525,1.883262,-2.22868,1.895421,-2.384946,-1.260911,-1.752647,0.243049,-0.018197,0.794919,-0.088464,1.2251,-0.932693,1.248163,-0.030741,2.35586,0.871907,-0.303662,39.25,0
6453,-0.547095,0.163573,-0.434826,-0.69088,1.672279,0.922932,-1.8682,-1.974137,1.042609,-0.519853,-1.649082,1.045735,0.169124,0.251571,0.809539,-1.309977,-1.631501,1.580954,-1.437167,-1.222238,-1.022435,2.079946,0.493383,0.965408,0.196168,-0.601887,0.631291,-1.556616,160.53,0
20021,0.614026,0.528393,0.34989,-0.027856,0.665584,0.697313,-0.641459,0.455014,-0.189395,-1.487234,-0.561607,-1.56369,0.980094,0.355889,-0.355491,1.420521,0.067991,-1.431223,-0.439479,1.632854,-0.669476,0.275221,0.743877,0.589948,2.44946,-1.176303,-1.076463,-1.159754,53.51,0
62832,0.075891,0.622663,0.28897,-0.099467,-0.721449,0.078489,1.0944,1.782005,0.292277,0.755161,0.269731,-0.087329,0.514257,1.189333,-0.886362,-1.451397,-0.533008,0.211662,0.869872,-0.989508,-2.488577,-0.509449,-0.193914,-1.162273,-0.756091,0.867283,0.07812,0.345622,30.11,0
44715,0.539655,-0.351512,0.25583,-0.487552,0.909196,-0.799286,-1.142078,0.028927,-1.433526,-2.105111,1.083735,-0.984224,-1.333652,-0.811759,-0.856651,-0.142111,-1.093487,0.498186,0.646234,-1.274991,-0.618097,-0.523057,-0.165007,1.082684,1.140313,2.498867,-2.269374,-0.924296,341.28,0
147393,1.15594,-0.596022,-0.900931,2.085124,0.225602,-0.772838,0.643501,0.256107,-0.570186,-0.048952,-0.291439,0.990083,0.681342,-2.142945,1.902909,-0.288317,1.722363,0.716051,0.24823,-0.094163,2.758777,-0.27165,-0.671331,-0.581309,0.001059,-0.000686,1.004024,0.758249,538.03,0
64897,-0.296873,1.175024,-0.649556,0.528763,0.008576,0.330879,0.039056,0.746171,-1.021517,-0.913323,1.464514,2.100363,-0.005419,1.715266,-0.771775,-0.531586,1.457488,0.804107,1.606427,0.468556,-1.012546,0.223577,1.202003,-0.132735,-0.286434,0.483853,-0.559506,0.2955,14.29,0
15759,2.288947,-1.556763,-0.057608,1.123239,0.301619,0.687967,-2.375666,0.598249,-0.761688,0.309877,-0.029435,2.278333,0.546695,-0.112624,-1.509693,0.121147,0.823229,-0.080552,-0.505656,-0.572587,0.535141,0.759388,1.36121,-0.995,0.525978,-0.121704,-0.092234,0.401826,30.64,0
50664,-0.338598,0.234915,-0.587022,0.496092,-1.432597,-0.260501,0.734633,0.369124,-0.462625,-0.232025,1.035335,-1.210402,-1.204594,-0.929634,-0.010678,-1.356738,0.953002,-0.924292,0.224356,-0.579073,-0.065497,-1.603346,1.001316,-0.961498,-1.066217,2.379009,0.554307,0.962416,40.14,0
5430,-0.051628,0.196582,0.183771,0.16677,-0.402035,0.27903,0.618029,0.141037,0.50594,0.990353,-1.85094,0.943464,0.342428,-1.111625,0.802471,-0.398321,-0.261966,-0.50768,0.302399,-0.785353,0.901475,-0.138863,-0.364202,0.752876,-0.319557,0.948177,0.979593,-1.334804,15.03,0
70910,1.194232,0.66509,-1.103409,-0.493318,-1.380834,1.144679,-1.991887,-1.283332,-0.511802,0.563917,-0.521653,-0.365229,-0.345528,0.172783,-1.220512,-0.947177,1.680924,0.402399,0.760782,0.058029,-0.14028,0.457131,0.727614,0.846076,-0.12656,0.955377,-2.466217,0.892287,0.31,0
20664,1.729115,0.074279,1.097625,0.038301,0.393888,-0.081439,0.095301,0.170532,-0.669732,-0.401069,-0.216755,0.229711,-0.030579,1.173033,0.847118,-0.196328,1.381784,1.873021,-2.043826,0.93229,-0.692984,0.800748,1.238238,-0.876993,-1.852327,0.835434,0.135402,-1.668439,18.09,0
50480,-3.124415,2.990352,-3.458722,2.108292,0.308114,-0.469586,-0.764621,0.476174,0.116367,-3.652058,-0.938435,-3.650721,-1.918081,-3.2606,0.135088,-1.262328,0.010481,-0.301191,0.284561,-0.716541,-0.218936,0.029302,0.629512,-0.673,-0.005724,-1.791016,0.516681,-0.23044,126.56,1
94467,-1.057493,-0.188672,1.351813,-0.194349,-0.323562,1.200274,-0.524397,0.021149,-0.92157,1.685134,1.04851,-0.152987,-0.399443,-0.031839,-0.138383,-1.54682,1.082667,-0.227138,1.89834,0.421816,-2.521087,-1.281623,-2.146055,-1.294048,-1.633602,0.252567,-0.316085,0.74054,2.29,0
114076,-0.004444,0.613897,-0.385283,-2.447731,-0.114817,1.466468,-0.344469,1.428651,-0.812358,-1.160971,-0.005103,-0.822578,0.329858,-0.372571,1.473917,-0.441667,0.089737,0.596336,0.956316,1.479643,-0.234863,-0.399308,-1.913917,2.041711,0.360964,0.751808,0.555729,0.049535,29.93,0
170312,-0.343318,-0.725822,-3.199761,-0.839213,-0.172729,-0.306261,0.456604,-0.804022,-0.760004,-2.113704,0.471429,-0.887835,-0.716007,0.564747,-0.88273,0.380338,-1.206625,-0.021124,-0.609652,-0.266295,1.51168,-1.639288,1.422411,-0.918775,0.869082,1.067317,0.430462,-1.218444,124.22,0
20711,2.529565,0.624419,0.6701,1.365818,-0.580824,0.130454,-1.319322,-0.607948,0.38566,-1.665285,-0.63629,-0.927934,0.142092,0.574701,0.742153,0.998817,1.372117,0.607245,1.887336,0.119503,-0.173321,0.607307,-0.216411,1.852565,1.130983,0.750278,0.131419,-0.407477,67.53,0
12193,0.282208,0.74656,-0.37933,-1.138668,-1.313665,-0.579255,-0.95185,-0.303617,1.307579,-0.377278,-0.377651,-0.016399,-0.405625,-0.067391,0.540869,0.884751,1.003213,2.056852,0.569359,2.234479,-0.776482,2.091285,-0.380376,-0.282019,-0.119873,-0.218621,0.08584,-0.580028,2.4,0
160644,-0.705563,-0.208025,-0.528472,0.396286,0.079692,1.01456,-0.084462,0.180687,1.865921,-0.438835,-0.285152,1.203488,-0.956827,1.315374,-0.236897,-0.833302,0.905216,-0.251126,1.824288,0.081158,0.073886,-0.586103,-0.146764,-0.272644,1.331382,0.289603,0.705551,0.098497,95.01,0
13556,0.710332,0.855109,-1.048524,-1.20103,-0.189803,1.440074,-0.693868,0.454972,0.455061,0.760773,1.66444,1.561906,-0.594606,-2.097895,-0.678529,0.075672,-0.361645,1.967899,0.01878,0.653712,0.217214,-0.346633,-1.924812,-0.078618,3.254647,-1.244458,-1.814873,1.936389,17.0,0
86937,1.935247,-0.63396,-0.06894,0.018576,-0.866971,0.086719,-0.815338,-1.234943,-0.038724,1.589877,-0.25402,0.941021,-0.845666,-1.283476,0.45386,1.755612,0.208954,0.826647,1.495124,-0.03653,-0.152063,0.472088,0.650019,-1.398975,0.295726,-0.000681,-0.789519,-0.06981,1.28,0
139636,-0.124447,0.613703,0.484529,1.005175,0.153716,0.083111,-1.402475,1.528422,-0.305604,-0.979535,2.627908,1.680086,-0.447749,-1.880671,-0.718471,1.579136,0.176713,-1.349436,0.783982,-0.209858,-0.648702,-0.57284,1.306393,0.546636,-1.486058,0.367189,0.107615,-0.420408,824.47,0
125829,-0.525911,-1.169541,-0.619059,1.952532,-1.110893,0.727192,0.421094,1.341433,-0.123093,-1.560344,0.992545,-0.249822,1.274463,0.815969,0.99587,2.368482,0.281998,1.442855,-0.404846,0.540711,-0.502271,0.47924,0.374805,-2.060567,-0.611728,0.230316,-2.257393,-0.095844,29.21,0
121476,-1.018523,-0.151024,0.358406,-0.603008,1.189812,2.45845,0.413125,-0.041236,-0.912263,0.370058,1.477176,1.948479,1.396156,0.84331,0.410193,-1.048668,-0.099722,-0.215878,-0.093204,-0.719412,0.757862,-0.273865,-0.35503,-0.716027,0.2323,1.496775,-0.010208,0.281741,89.78,0
99922,-1.661279,-0.260669,-0.323815,0.172906,0.724815,-0.808466,1.758268,-0.538535,0.602194,0.090167,-0.19871,0.040057,-0.940288,-0.387566,-1.339755,-0.54927,-0.466667,0.845221,-0.331925,-0.448082,0.22004,0.180853,-0.591041,0.394228,-0.178647,-0.592663,-0.495479,0.949351,11.48,0
105700,-0.423215,0.391057,-0.446996,1.611115,0.628964,-1.34931,0.550878,-0.68948,0.13569,-0.731195,-2.194404,-0.021733,-1.434416,0.419715,0.174785,-0.603885,1.825537,-1.239287,-0.624338,-1.120692,2.041316,1.352244,-1.422122,-0.825581,-0.791659,-0.550727,-1.042781,-0.605751,296.39,0
112251,-0.249457,0.374464,1.233916,-0.754115,1.185866,-0.265203,-0.370992,0.699559,-0.341159,0.319169,0.225748,-2.083487,0.417585,-1.441102,-1.364882,0.366464,0.53659,1.205049,-1.089368,-0.741279,0.464366,1.224277,0.192175,-0.877999,1.506417,-0.262367,-0.231201,-1.435847,18.1,0
109394,-1.748014,-0.326334,-2.350245,-1.689836,-1.627525,0.624066,0.436984,0.801244,0.607917,0.485065,0.111857,-0.13088,1.019598,0.012278,0.525179,-2.330285,-1.175069,0.980224,-0.668435,-1.395358,0.641292,0.001334,-0.406939,1.509111,1.337434,-0.187837,0.722375,-2.238704,74.4,0
95934,-2.009755,-0.678409,1.066306,-0.559719,-1.308189,0.226636,0.252369,-1.017049,-0.506046,0.150577,0.745986,-0.648872,-0.792976,1.912555,-0.274026,0.249434,0.648365,-1.786886,-0.018527,-1.645716,-0.130777,1.373124,-0.998468,-1.666419,1.887686,-1.147057,-1.498579,1.619032,28.33,0
19016,-0.266904,0.336749,-0.387678,-0.673474,1.044191,3.121897,-0.36176,1.215322,-0.325911,-0.010485,1.757584,-1.073535,-1.338159,-0.087199,0.663656,0.463667,0.360679,0.034132,0.78654,-2.913672,-0.750805,-0.093612,0.704535,1.489765,-0.8851,1.457079,-0.452562,-0.12991,33.72,0
162337,-1.317614,-1.115476,-0.30981,0.369204,-0.442656,-0.524083,1.173746,0.471953,-0.984723,-0.509708,0.516817,-1.261022,0.510733,-0.343798,0.362808,0.119864,-1.117354,-0.63662,1.447401,2.371322,-1.747242,1.043123,0.295617,2.082283,-0.558512,0.898284,-0.302643,1.281403,3.78,0
164275,0.4938,0.364868,0.159753,0.431963,-2.185623,-0.266104,-1.383232,-0.040539,1.306466,-0.908687,-0.70929,-0.849517,-0.715907,0.554053,0.787197,1.469201,-1.005129,0.68394,0.850369,1.653296,-0.930488,-2.00358,-0.277386,2.808687,-1.095263,0.486925,-2.216529,1.81484,192.28,0
53735,-0.919522,1.449157,0.047621,-0.173622,0.23528,-1.206403,-0.330848,0.002661,1.231381,-1.670417,1.76299,-0.124648,-1.110556,-1.291635,0.273149,-1.347209,-0.560124,-0.249903,1.143676,1.018453,-0.642992,-0.212683,-1.595385,-2.039096,-1.229052,1.123097,0.780081,0.383436,18.96,0
23762,0.32876,0.027803,-0.07538,0.701292,-0.47858,-0.430587,0.797603,-0.986925,-0.88022,-1.260314,0.849011,-0.105237,-1.313615,0.853809,-0.555542,-0.871678,-0.195679,1.478724,-0.394962,0.575339,0.72708,0.443273,1.271072,-0.707116,-1.043335,-1.062967,-0.144468,-0.947047,22.43,0
167536,-0.952777,0.929369,0.217724,0.018773,-0.438531,0.798443,-0.157653,-1.909895,-1.714251,-1.269272,0.78418,0.860251,0.324998,0.314409,1.446135,0.342848,0.63811,-0.010747,-0.461055,-0.280235,2.050769,-1.086719,0.314312,-1.515389,-0.610517,0.773826,-1.809962,0.904739,18.36,0
58581,-0.495267,1.214421,-1.235375,1.523227,0.779834,1.15423,-0.929533,0.072302,0.298943,0.254967,0.295657,-0.276526,0.135207,1.033564,-1.166512,1.54705,0.981899,-0.965202,0.383836,0.901499,-1.235293,0.041978,-0.078515,-0.645581,0.092357,-0.600287,1.374307,-0.626644,26.46,0
